id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,203h–204t,2641,0.014182329999999998,1,2,0.02836466,3,False
2,271h–273t,3340,0,0,0,0.008691649999999999,2,False
3,264h–269t,15549,0,0,0,0.008691649999999999,2,False
4,140h–142t,1204,0,0,0,0.00537086,2,False
5,138h–140t,1167,0,0,0,0.00537086,2,False
6,74h–75t,461,0,0,0,0,0,True
7,73h–74t,968,0,0,0,0,0,True
8,50h–51t,127,0,0,0,0,0,True
9,46h–47t,1,0,0,0,0,0,True
10,354h–5t,20362,0,0,0,0,1,True
11,350h–351t,2242,0,0,0,0,1,True
12,308h–309t,1,0,0,0,0,0,True
13,307h–308t,1449,0,0,0,0,0,True
14,303h–304t,5993,0,0,0,0,1,True
15,293h–294t,612,0,0,0,0,1,True
16,292h–293t,10927,0,0,0,0,0,True
17,291h–292t,1,0,0,0,0,0,True
18,287h–288t,603,0,0,0,0,1,True
19,275h–277t,6277,0,0,0,0,1,True
20,262h–263t,3565,0,0,0,0,1,True
21,245h–246t,1,0,0,0,0,0,True
22,244h–245t,155,0,0,0,0,0,True
23,230h–231t,8835,0,0,0,0,1,True
24,198h–199t,9488,0,0,0,0,1,True
25,191h–192t,1614,0,0,0,0,1,True
26,190h–191t,1,0,0,0,0,0,True
27,189h–190t,99,0,0,0,0,0,True
28,179h–180t,2869,0,0,0,0,0,True
29,178h–179t,1,0,0,0,0,0,True
30,165h–166t,4485,0,0,0,0,0,True
31,163h–164t,2790,0,0,0,0,0,True
32,160h–161t,1570,0,0,0,0,0,True
33,159h–160t,1,0,0,0,0,0,True
34,143h–144t,1250,0,0,0,0,0,True
35,142h–143t,1205,0,0,0,0,0,True
36,114t–84t,1444,0,0,0,0,1,True
37,111h–83h,8748,0,0,0,0,1,True
38,108h–111t,6277,0,0,0,0,0,True
39,106h–108t,1191,0,0,0,0,0,True
40,104h–105t,16,0,0,0,0,0,True
41,103h–104t,1,0,0,0,0,0,True
