id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,499h–500t,5545,0,0,0,0.004608419999999999,2,False
2,2h–4t,6137,0,0,0,0.004608419999999999,2,False
3,8h–9t,802,0,0,0,0,0,True
4,76h–77t,1139,0,0,0,0,0,True
5,74h–75t,1,0,0,0,0,0,True
6,492h–496t,14827,0,0,0,0,0,True
7,491h–492t,3323,0,0,0,0,0,True
8,47h–48t,2482,0,0,0,0,0,True
9,46h–47t,240,0,0,0,0,0,True
10,443h–444t,974,0,0,0,0,0,True
11,442h–443t,13362,0,0,0,0,0,True
12,420h–421t,188,0,0,0,0,0,True
13,418h–420t,1275,0,0,0,0,0,True
14,386h–389t,5605,0,0,0,0,0,True
15,383h–386t,8657,0,0,0,0,0,True
16,371h–372t,271,0,0,0,0,0,True
17,369h–370t,1,0,0,0,0,0,True
18,353h–356t,29053,0,0,0,0,0,True
19,352h–353t,725,0,0,0,0,0,True
20,346h–347t,1,0,0,0,0,0,True
21,345h–346t,2692,0,0,0,0,0,True
22,343h–344t,3877,0,0,0,0,0,True
23,329h–330t,432,0,0,0,0,0,True
24,327h–329t,19201,0,0,0,0,0,True
25,325h–326t,1158,0,0,0,0,0,True
26,324h–325t,1915,0,0,0,0,0,True
27,323h–324t,467,0,0,0,0,0,True
28,322h–323t,578,0,0,0,0,0,True
29,321h–322t,6703,0,0,0,0,0,True
30,317h–320t,6553,0,0,0,0,0,True
31,316h–317t,1399,0,0,0,0,0,True
32,311h–315t,27918,0,0,0,0,0,True
33,310h–311t,1,0,0,0,0,0,True
34,304h–305t,1,0,0,0,0,0,True
35,303h–304t,1,0,0,0,0,0,True
36,302h–303t,7,0,0,0,0,0,True
37,29h–30t,10915,0,0,0,0,0,True
38,298h–299t,1,0,0,0,0,0,True
39,296h–297t,1272,0,0,0,0,0,True
40,290h–291t,797,0,0,0,0,0,True
41,28h–29t,1,0,0,0,0,0,True
42,289h–290t,92,0,0,0,0,0,True
43,288h–289t,57,0,0,0,0,0,True
44,287h–288t,1527,0,0,0,0,0,True
45,27h–28t,2705,0,0,0,0,0,True
46,279h–280t,8968,0,0,0,0,0,True
47,278h–279t,1,0,0,0,0,0,True
48,274h–275t,1,0,0,0,0,0,True
49,262h–263t,1940,0,0,0,0,0,True
50,259h–262t,4995,0,0,0,0,1,True
51,253h–254t,1,0,0,0,0,0,True
52,252h–253t,818,0,0,0,0,0,True
53,246h–247t,1216,0,0,0,0,0,True
54,245h–246t,1,0,0,0,0,0,True
55,240h–245t,21429,0,0,0,0,0,True
56,237h–240t,4118,0,0,0,0,0,True
57,234h–237t,11258,0,0,0,0,0,True
58,232h–233t,1,0,0,0,0,0,True
59,231h–232t,811,0,0,0,0,0,True
60,228h–231t,5959,0,0,0,0,0,True
61,227h–228t,1,0,0,0,0,0,True
62,226h–227t,1,0,0,0,0,0,True
63,225h–226t,1,0,0,0,0,0,True
64,223h–224t,1,0,0,0,0,0,True
65,222h–223t,5296,0,0,0,0,0,True
66,213h–221t,30642,0,0,0,0,0,True
67,210h–211t,1159,0,0,0,0,0,True
68,198h–199t,1,0,0,0,0,0,True
69,197h–198t,1,0,0,0,0,0,True
70,177h–178t,1,0,0,0,0,0,True
71,176h–177t,1,0,0,0,0,0,True
72,175h–176t,80,0,0,0,0,0,True
73,172h–173t,1347,0,0,0,0,0,True
74,170h–171t,2549,0,0,0,0,0,True
75,158h–159t,1,0,0,0,0,0,True
76,157h–158t,1,0,0,0,0,0,True
77,14h–16t,5958,0,0,0,0,0,True
78,13h–14t,938,0,0,0,0,0,True
79,10t–9h,1,0,0,0,0,0,True
80,102h–103t,901,0,0,0,0,0,True
81,100h–101t,1,0,0,0,0,0,True
