Genome,Length
CP017501.1,2645990
CP026857.1,2606972
CP017504.1,2697508
CP017524.1,2732067
CP017520.1,2753885
CP017523.1,2640164
CP004753.2,2544094
CP023043.1,2753699
CP005972.1,2681844
CP017543.1,2699550
CP006573.1,2501382
CP017531.1,2678029
CP017537.1,2699444
CP006957.2,2524776
CP017533.1,2635011
CP017539.1,2746224
CP017530.1,2644830
CP017505.1,2727445
CP023046.1,2746467
CP011099.1,2704219
CP017550.1,2746069
CP017528.1,2682483
CP017540.1,2641282
CP017538.1,2819163
CP017535.1,2683815
CP017536.1,2739166
CP017551.1,2749826
CP023044.1,2753783
CP017549.1,2691212
CP023047.1,2753764
CP004752.2,2657957
CP026858.1,2562219
CP017532.1,2751412
CP017548.1,2788080
CP017544.1,2782656
CP006619.1,2658486
CP017519.1,2689755
CP006574.1,2702201
CP011098.1,2705355
CP017491.1,2645998
CP017506.1,2727491
CP017534.1,2813766
CP005383.1,2731835
