strain,label
CP016647,Neisseria meningitidis strain M22809
FR774048,Neisseria meningitidis WUE 2594
CP016654,Neisseria meningitidis strain M22811
CP000381,Neisseria meningitidis 053442
CP016883,Neisseria meningitidis strain M22790
CP002422,Neisseria meningitidis M01-240355
AL157959,Neisseria meningitidis serogroup A strain Z2491
CP016672,Neisseria meningitidis strain M22828
FM999788,Neisseria meningitidis 8013
CP012392,Neisseria meningitidis strain DE10444
CP016660,Neisseria meningitidis strain M22804
CP020401,Neisseria meningitidis strain FDAARGOS_214
CP012694,Neisseria meningitidis strain 331401
CP016646,Neisseria meningitidis strain M22819
CP016682,Neisseria meningitidis strain M24705
CP007524,Neisseria meningitidis strain 510612
CP020422,Neisseria meningitidis strain FDAARGOS_211
CP016680,Neisseria meningitidis strain M22822
CP020402,Neisseria meningitidis strain FDAARGOS_215
