strain,label
CP020831.1,Listeria monocytogenes strain PNUSAL000144
CP038642.1,Listeria monocytogenes strain N12-0935
CP027029.1,Listeria monocytogenes strain Lm16
CP041213.1,Listeria monocytogenes strain LMP18-H8393
FR720325.1,Listeria monocytogenes serotype 7 str. SLCC2482
CP002001.1,Listeria monocytogenes J0161
CP030834.1,Listeria monocytogenes strain 12
CP033737.1,Listeria monocytogenes strain FDAARGOS_555
CP030809.1,Listeria monocytogenes strain 13
CP006594.1,Listeria monocytogenes strain R2-502
CP032669.1,Listeria monocytogenes strain 52869
CP009242.1,Listeria monocytogenes strain LM850658
CP013722.1,Listeria monocytogenes strain Lm 3163
CP025560.1,Listeria monocytogenes strain PIR00545
CP020828.1,Listeria monocytogenes strain CFSAN022990
CP021174.1,Listeria monocytogenes strain FORC_057
CP032671.1,Listeria monocytogenes strain 52859
CP020827.1,Listeria monocytogenes strain CFSAN028538
CP002816.1,Listeria monocytogenes M7
CP030810.1,Listeria monocytogenes strain 11
CP019623.1,Listeria monocytogenes strain 10-092876-1763 LM10
CP045970.1,Listeria monocytogenes strain AUSMDU00000235
HG813249.1,Listeria monocytogenes 6179 sequence
CP019617.1,Listeria monocytogenes strain 10-092876-0055 LM4
CP028183.1,Listeria monocytogenes strain CFSAN054109
CP046362.1,Listeria monocytogenes strain N843_15
CP045969.1,Listeria monocytogenes strain AUSMDU00007774
CP002004.1,Listeria monocytogenes Finland 1998
FM211688.1,Listeria monocytogenes L99 serovar 4a
CP048401.1,Listeria monocytogenes strain 4/52-1953
CP046361.1,Listeria monocytogenes strain N843_10
CP006597.1,Listeria monocytogenes strain N1-011A
LT985476.1,Listeria monocytogenes isolate LMNC088
FR733646.1,Listeria monocytogenes strain SLCC2755 serotype 1/2b
CM003382.1,Listeria monocytogenes strain JF5171
CP030808.1,Listeria monocytogenes strain 14
CP006591.1,Listeria monocytogenes strain C1-387
CP020833.1,Listeria monocytogenes strain CFSAN004330
