strain,label
CP006709.2,C. jejuni 00-2544
LR134507.1,C. jejuni NCTC12851
CP006851.1,C. jejuni F38011
CP047480.1,C. jejuni CFSAN096302
CP000025.1,C. jejuni RM1221
CP006686.1,C. jejuni NCTC 11168-Kf1
CP020045.1,C. jejuni ATCC 35925
LS483362.1,C. jejuni NCTC11168
CM000854.1,C. jejuni 1336
LR134502.1,C. jejuni NCTC13257
CP012221.1,C. jejuni CJ018CCUA
CP007188.1,C. jejuni HF5-4A-4
CP045048.1,C. jejuni NADC 20827
CP012696.1,C. jejuni RM1285
CP002029.1,C. jejuni ICDCCJ07001
CP020776.1,C. jejuni YH002
CP005388.1,C. jejuni CG8421
CP012690.1,C. jejuni RM3196
CP012689.1,C. jejuni RM3197
CP012210.1,C. jejuni CJ515CC45
CP023446.1,C. jejuni 100
CP008787.1,C. jejuni MTVDSCj20
CP028372.1,C. jejuni huA17
LR134359.1,C. jejuni subsp. doylei NCTC11951
CP012149.1,C. jejuni CJM1cam
CP019965.1,C. jejuni NCTC12662
CM000855.1,C. jejuni 414
CP022079.1,C. jejuni FDAARGOS_265
CP017229.1,C. jejuni FORC_046
CP022080.1,C. jejuni FDAARGOS_266
HE978252.1,C. jejuni NCTC 11168-BN148
CP022559.1,C. jejuni 11168H/araE
CP006687.1,C. jejuni NCTC 11168-mcK12E5
CP012217.1,C. jejuni CJ071CC464
CP017863.1,C. jejuni IF1100
CP014742.1,C. jejuni WP2202
LN831025.1,C. jejuni NCTC11351
LR134511.1,C. jejuni NCTC10983
CP045789.1,C. jejuni CFSAN032806
CP017456.1,C. jejuni str. RM3420
CP019838.1,C. jejuni ATCC 33560
CP010307.1,C. jejuni 00-6200
CP022470.1,C. jejuni RM1246-ERRC
CP007191.1,C. jejuni NS4-1-1
CP017860.1,C. jejuni TS1218
CP023866.1,C. jejuni FDAARGOS_421
CP028912.1,C. jejuni NCTC 12664
CP022076.1,C. jejuni FDAARGOS_262
CP047484.1,C. jejuni CFSAN096296
CP022439.1,C. jejuni 11168H/lacY
CP017029.1,C. jejuni 14980A
CP007192.1,C. jejuni NS4-5-1
CP017031.1,C. jejuni MTVDSCj07
CP003871.4,C. jejuni PT14
CP012216.1,C. jejuni CJ074CC443
CP017862.1,C. jejuni FJ3124
CP023867.1,C. jejuni FDAARGOS_422
AL111168.1,C. jejuni NCTC 11168
CP015209.1,C. jejuni RM1285
CP006689.1,C. jejuni NCTC 11168-GSv
CP012220.1,C. jejuni CJ090CC1332
CP047477.1,C. jejuni CFSAN096307
LR134530.1,C. jejuni subsp. doylei NCTC11924
CP012213.1,C. jejuni CJ513CC45
CP006006.1,C. jejuni 32488
CP047478.1,C. jejuni CFSAN096306
CP006685.1,C. jejuni NCTC 11168-K12E5
CP014344.1,C. jejuni RM3194
CP022440.1,C. jejuni 81-176_G1_B0
CP006688.1,C. jejuni NCTC 11168-mfK12E5
CP007190.1,C. jejuni HF5-7-1
CP012206.1,C. jejuni CJ067CC45
CP028910.1,C. jejuni NCTC 12660
CP001876.1,C. jejuni IA3902
LS483295.1,C. jejuni subsp. doylei NCTC11925
HG428754.1,C. jejuni 4031
CP007751.1,C. jejuni D42a
CP014744.1,C. jejuni OD267
CP012224.1,C. jejuni CJ066CC508
CP022077.1,C. jejuni FDAARGOS_263
CP028911.1,C. jejuni NCTC 12661
CP000768.1,C. jejuni subsp. doylei 269.97
CP007189.1,C. jejuni HF5-5-1
CP023543.1,C. jejuni CFSAN032806
CP010058.1,C. jejuni YH001
CP053659.1,C. jejuni 2016-IZSVE-19-111250
CP001900.1,C. jejuni M1
CP023343.1,C. jejuni 104
LR134497.1,C. jejuni NCTC13268
CP041584.1,C. jejuni YH003
CP001960.1,C. jejuni S3
CP000814.1,C. jejuni 81116
CP027403.1,C. jejuni subsp. doylei FDAARGOS_295
CP012214.1,C. jejuni CJ088CC52
CP007193.1,C. jejuni NS4-9-1
CP034393.1,C. jejuni CLB104
CP012211.1,C. jejuni CJ031CC45
