Seq_id	Size	Description
1	1938566	CP003497.1
2	1938583	CP003039.2
3	1946899	CP007522.1
4	1938793	CP003498.1
5	1938680	CP001515.1
6	1938624	CP009045.1
7	1931028	CP007755.1
8	1935423	CP031154.1
9	1958622	CP010433.1
10	1944323	CP017098.1
11	1958622	LR699002.1
12	1944021	CP001892.1
13	1944072	CP022724.1
14	1931603	CP035497.1
15	1944145	CP042940.1
16	1933695	CP001213.1
17	1938606	CP004053.1
18	1944141	CP031703.1
19	1937168	CP047190.1
20	1942198	CP001853.1
21	1938454	CP001606.1
22	1943113	CP002915.1
--------------------------------------------------------------------------------
Block #20
Seq_id	Strand	Start	End	Length
1	+	1876692	1938566	61874
2	+	1876555	1938421	61866
3	+	1884874	1946749	61875
4	+	1876915	1938793	61878
5	+	1876805	1938680	61875
6	+	1876587	1938462	61875
7	+	1869154	1931028	61874
8	+	1873386	1935261	61875
9	+	1896747	1958622	61875
10	+	1882450	1944323	61873
11	+	1896747	1958622	61875
12	+	1882147	1944021	61874
13	+	440232	502106	61874
14	+	1869728	1931603	61875
15	+	1822049	1883924	61875
16	+	1871805	1933695	61890
17	+	1876570	1938444	61874
18	-	290139	228265	61874
19	+	1875293	1937168	61875
20	+	573825	635619	61794
21	+	1876579	1938454	61875
22	+	1881293	1943113	61820
--------------------------------------------------------------------------------
Block #19
Seq_id	Strand	Start	End	Length
1	+	1780430	1854741	74311
2	+	1780241	1854645	74404
3	+	1788621	1863024	74403
4	+	1780650	1854962	74312
5	+	1780540	1854852	74312
6	+	1780229	1854633	74404
7	+	1772800	1847204	74404
8	+	1785738	1860142	74404
9	+	1785885	1860289	74404
10	+	1786092	1860496	74404
11	+	1785885	1860289	74404
12	+	1785881	1860193	74312
13	+	343880	418282	74402
14	+	1785883	1860287	74404
15	+	1725692	1800096	74404
16	+	1094399	1168711	74312
17	+	1780217	1854620	74403
18	-	386497	312123	74374
19	+	1787645	1862049	74404
20	+	477554	551895	74341
21	+	1780312	1854624	74312
22	+	1785081	1859347	74266
--------------------------------------------------------------------------------
Block #18
Seq_id	Strand	Start	End	Length
1	+	1771757	1777093	5336
2	+	1771568	1776904	5336
3	+	1779948	1785284	5336
4	+	1771977	1777313	5336
5	+	1771867	1777203	5336
6	+	1771556	1776892	5336
7	+	1764112	1769463	5351
8	+	1777065	1782401	5336
9	+	1777212	1782548	5336
10	+	1777419	1782755	5336
11	+	1777212	1782548	5336
12	+	1777208	1782544	5336
13	+	335207	340543	5336
14	+	1777210	1782546	5336
15	+	1717019	1722355	5336
16	+	1085727	1091063	5336
17	+	1771544	1776880	5336
18	-	395170	389834	5336
19	+	1778972	1784308	5336
20	+	468881	474217	5336
21	+	1771639	1776975	5336
22	+	1776408	1781744	5336
--------------------------------------------------------------------------------
Block #17
Seq_id	Strand	Start	End	Length
1	+	1660329	1765898	105569
2	+	1660138	1765709	105571
3	+	1659955	1765525	105570
4	+	1660548	1766118	105570
5	+	1660492	1766008	105516
6	+	1660127	1765697	105570
7	+	1655123	1760693	105570
8	+	1665637	1771207	105570
9	+	1665784	1771354	105570
