strain,label
AE008923,X. axonopodis pv. citri str. 306
LN606820,X. citri pv. citri ASX_PRJEB7163_v1
LN590509,X. citri pv. citri ASX_PRJEB7164_v1
CP011827,X. citri pv. citri strain jx-6
CM007622,X. citri pv. citri strain LM180
CM007619,X. citri pv. citri strain LM199
CP006857,X. citri subsp. citri A306
CP003778,X. citri subsp. citri Aw12879
CP023285,X. citri pv. citri strain 03-1638-1-1
CP009028,X. citri subsp. citri strain 5208
CP009031,X. citri subsp. citri strain AW13
CP009034,X. citri subsp. citri strain AW14
CP009037,X. citri subsp. citri strain AW15
CP009040,X. citri subsp. citri strain AW16
CP009025,X. citri subsp. citri strain BL18
CP009022,X. citri subsp. citri strain FB19
CP009019,X. citri subsp. citri strain gd2
CP009016,X. citri subsp. citri strain gd3
CP009013,X. citri subsp. citri strain jx4
CP009010,X. citri subsp. citri strain jx5
CP018858,X. citri pv. citri strain LH201
CP018854,X. citri pv. citri strain LH276
CP018850,X. citri pv. citri strain LJ207-7
CP018847,X. citri pv. citri strain LL074-4
CP009007,X. citri subsp. citri strain mf20
CP009004,X. citri subsp. citri strain MN10
CP009001,X. citri subsp. citri strain MN11
CP008998,X. citri subsp. citri strain MN12
CP008995,X. citri subsp. citri strain NT17
CP020882,X. citri pv. citri strain TX160042
CP020885,X. citri pv. citri strain TX160149
CP020889,X. citri pv. citri strain TX160197
CP008989,X. citri subsp. citri strain UI7
CP008992,X. citri subsp. citri UI6
