strain,character_state,character_state_annotation
FR774048,0,adjacency exists
CP020422,3,inversion with 108h-112t
CP000381,3,inversion with 108h-112t
CP020401,3,inversion with 108h-112t
FM999788,3,inversion with 108h-112t
CP012694,3,inversion with 108h-112t
CP016672,0,adjacency exists
CP016646,0,adjacency exists
CP016660,0,adjacency exists
CP002422,3,inversion with 108h-112t
AL157959,3,inversion with 108h-112t
CP016883,0,adjacency exists
CP016647,0,adjacency exists
CP012392,0,adjacency exists
CP016682,0,adjacency exists
CP016680,0,adjacency exists
CP016654,0,adjacency exists
CP007524,3,inversion with 108h-112t
CP020402,3,inversion with 108h-112t
