id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,18h–31t,76248,0,0,0,0.048260460000000005,3,False
2,228h–229t,7606,0,0,0,0.01875686,3,False
3,215h–221t,63846,0,0,0,0.0071109400000000005,2,False
4,88h–89t,37,0,0,0,0,0,True
5,87h–88t,288,0,0,0,0,0,True
6,54h–56t,2572,0,0,0,0,0,True
7,52h–54t,856,0,0,0,0,0,True
8,50h–51t,4788,0,0,0,0,0,True
9,46h–50t,18755,0,0,0,0,0,True
10,40h–41t,1538,0,0,0,0,0,True
11,39h–40t,725,0,0,0,0,0,True
12,35h–36t,2278,0,0,0,0,0,True
13,34h–35t,4595,0,0,0,0,0,True
14,33h–34t,1214,0,0,0,0,0,True
15,32h–33t,3540,0,0,0,0,0,True
16,275h–276t,897,0,0,0,0,0,True
17,274h–275t,1,0,0,0,0,0,True
18,271h–272t,2799,0,0,0,0,0,True
19,270h–271t,1,0,0,0,0,0,True
20,267h–268t,1201,0,0,0,0,0,True
21,266h–267t,107,0,0,0,0,0,True
22,251h–253t,10716,0,0,0,0,0,True
23,250h–251t,13741,0,0,0,0,1,True
24,231h–235t,6492,0,0,0,0,1,True
25,213h–215t,993,0,0,0,0,1,True
26,194h–195t,1418,0,0,0,0,1,True
27,193h–194t,5,0,0,0,0,0,True
28,192h–193t,1,0,0,0,0,0,True
29,191h–192t,4950,0,0,0,0,1,True
30,158h–160t,2668,0,0,0,0,0,True
31,157h–158t,761,0,0,0,0,0,True
32,153h–154t,583,0,0,0,0,0,True
33,152h–153t,1,0,0,0,0,0,True
34,150h–151t,181,0,0,0,0,0,True
35,143h–149t,21671,0,0,0,0,1,True
36,140h–141t,600,0,0,0,0,0,True
37,139h–140t,773,0,0,0,0,0,True
38,135h–136t,16872,0,0,0,0,0,True
39,133h–134t,1942,0,0,0,0,0,True
40,127h–128t,1,0,0,0,0,0,True
41,126h–127t,233,0,0,0,0,0,True
42,11h–12t,1,0,0,0,0,0,True
43,118h–119t,1,0,0,0,0,0,True
44,117h–118t,359,0,0,0,0,0,True
45,116h–117t,1,0,0,0,0,0,True
46,114h–115t,1122,0,0,0,0,0,True
47,10h–11t,14937,0,0,0,0,0,True
