id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,7h–8t,6363,0,0,0,0.00099555,2,False
2,10t–9h,569,0,0,0,0.00099555,2,False
3,105h–106t,20272,0,0,0,0.000937,2,False
4,58h–59t,10471,0,0,0,0.00027471,2,False
5,87h–88t,26580,0,0,0,0.00025863,2,False
6,44h–47t,6353,0,0,0,0.00025863,2,False
7,89h–90t,3362,0,0,0,0,1,True
8,86h–87t,13740,0,0,0,0,1,True
9,79h–80t,4121,0,0,0,0,1,True
10,76h–77t,2664,0,0,0,0,0,True
11,70h–75t,36179,0,0,0,0,0,True
12,69h–70t,1,0,0,0,0,0,True
13,68h–69t,1,0,0,0,0,0,True
14,66h–67t,7377,0,0,0,0,0,True
15,64h–65t,7366,0,0,0,0,0,True
16,63h–64t,1,0,0,0,0,1,True
17,57h–58t,4106,0,0,0,0,1,True
18,56h–57t,8869,0,0,0,0,1,True
19,55h–56t,238,0,0,0,0,1,True
20,54h–55t,10,0,0,0,0,1,True
21,53h–54t,1,0,0,0,0,0,True
22,49h–50t,1457,0,0,0,0,1,True
23,41h–42t,11933,0,0,0,0,1,True
24,40h–41t,2085,0,0,0,0,1,True
25,3h–4t,1,0,0,0,0,1,True
26,38h–39t,240,0,0,0,0,1,True
27,29h–31t,8131,0,0,0,0,1,True
28,19h–20t,3387,0,0,0,0,1,True
29,15h–16t,1347,0,0,0,0,1,True
30,139h–1t,3635,0,0,0,0,1,True
31,138h–139t,1069,0,0,0,0,1,True
32,137h–138t,3336,0,0,0,0,1,True
33,136h–137t,5439,0,0,0,0,1,True
34,134h–135t,948,0,0,0,0,1,True
35,126h–127t,3400,0,0,0,0,1,True
36,121h–125t,8726,0,0,0,0,1,True
37,120h–121t,1,0,0,0,0,1,True
38,11h–12t,62,0,0,0,0,1,True
39,118h–120t,6341,0,0,0,0,1,True
40,106h–107t,7459,0,0,0,0,1,True
41,104h–105t,6523,0,0,0,0,0,True
42,103h–104t,1,0,0,0,0,0,True
43,102h–103t,4234,0,0,0,0,1,True
44,101h–102t,7371,0,0,0,0,1,True
