strain,character_state,character_state_annotation
CP000381,0,adjacency exists
CP020402,0,adjacency exists
CP016654,3,inversion with 27h-37h
CP012694,0,adjacency exists
CP012392,0,adjacency exists
CP007524,0,adjacency exists
CP020401,0,adjacency exists
CP016672,3,inversion with 27h-37h
CP016660,3,inversion with 27h-37h
CP016646,3,inversion with 27h-37h
CP020422,0,adjacency exists
CP016647,3,inversion with 27h-37h
FM999788,0,adjacency exists
CP002422,0,adjacency exists
CP016682,3,inversion with 27h-37h
FR774048,0,adjacency exists
CP016680,3,inversion with 27h-37h
AL157959,0,adjacency exists
CP016883,3,inversion with 27h-37h
