id,adjacency,mean_break_length_nucleotide,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,parallel_break_score,number_of_parallel_breaks,tree_consistent
1,14t–15t,75866,0.10566058,2,7,1.35376566,13,False
2,14h–9h,10742,0.10566058,2,7,0.7701955999999999,10,False
3,40h–44t,71202,0.005530200000000001,1,2,0.47458186,7,False
4,93h–95t,24251,0,0,0,0.23155778,5,False
5,23h–25t,33494,0,0,0,0.10168978000000001,4,False
6,7h–8t,7893,0,0,0,0.0530252,2,False
7,92h–93t,1816,0,0,0,0.04318309000000001,2,False
8,105h–110t,85116,0,0,0,0.0244913,2,False
9,3h–4t,17665,0,0,0,0.02154888,3,False
10,48h–49t,1567,0,0,0,0.012338690000000001,2,False
11,95h–96t,2762,0,0,0,0.010958669999999998,2,False
12,19h–20t,1952,0,0,0,0.00703829,2,False
13,57h–58t,40,0,0,0,0.0046416899999999995,2,False
14,49h–51t,3240,0,0,0,0.0046416899999999995,2,False
15,37h–38t,2816,0,0,0,0.0037885899999999997,2,False
16,32h–33t,18511,0,0,0,0.0037885899999999997,2,False
17,96h–97t,1136,0,0,0,0,1,True
18,90h–91t,2709,0,0,0,0,1,True
19,89h–90t,1,0,0,0,0,1,True
20,82h–84t,43637,0,0,0,0,1,True
21,77h–82t,18372,0,0,0,0,1,True
22,76h–77t,101,0,0,0,0,1,True
23,75h–76t,228,0,0,0,0,1,True
24,74h–75t,1103,0,0,0,0,1,True
25,59h–60t,1,0,0,0,0,1,True
26,56h–57t,927,0,0,0,0,0,True
27,55h–56t,3871,0,0,0,0,0,True
28,53h–54t,700,0,0,0,0,1,True
29,52h–53t,6832,0,0,0,0,1,True
30,47h–48t,1425,0,0,0,0,1,True
31,38h–40t,21049,0,0,0,0,1,True
32,34h–35t,846,0,0,0,0,0,True
33,2h–3t,1376,0,0,0,0,1,True
34,29h–30t,2374,0,0,0,0,1,True
35,113h–1t,16291,0,0,0,0,0,True
36,112h–113t,2147,0,0,0,0,0,True
37,110h–111t,3469,0,0,0,0,1,True
38,103h–105t,22101,0,0,0,0,1,True
